ProductID,Name,ProductNumber,Color,ListPrice,StandardCost,ProductCategory,ProductSubcategory
1,Adjustable Race,AR-5381,,0.0,0.0,,
2,Bearing Ball,BA-8327,,0.0,0.0,,
3,BB Ball Bearing,BE-2349,,0.0,0.0,,
4,Headset Ball Bearings,BE-2908,,0.0,0.0,,
316,Blade,BL-2036,,0.0,0.0,,
317,LL Crankarm,CA-5965,Black,0.0,0.0,,
318,ML Crankarm,CA-6738,Black,0.0,0.0,,
319,HL Crankarm,CA-7457,Black,0.0,0.0,,
320,Chainring Bolts,CB-2903,Silver,0.0,0.0,,
321,Chainring Nut,CN-6137,Silver,0.0,0.0,,
322,Chainring,CR-7833,Black,0.0,0.0,,
323,Crown Race,CR-9981,,0.0,0.0,,
324,Chain Stays,CS-2812,,0.0,0.0,,
325,Decal 1,DC-8732,,0.0,0.0,,
326,Decal 2,DC-9824,,0.0,0.0,,
327,Down Tube,DT-2377,,0.0,0.0,,
328,Mountain End Caps,EC-M092,,0.0,0.0,,
329,Road End Caps,EC-R098,,0.0,0.0,,
330,Touring End Caps,EC-T209,,0.0,0.0,,
331,Fork End,FE-3760,,0.0,0.0,,
332,Freewheel,FH-2981,Silver,0.0,0.0,,
341,Flat Washer 1,FW-1000,,0.0,0.0,,
342,Flat Washer 6,FW-1200,,0.0,0.0,,
343,Flat Washer 2,FW-1400,,0.0,0.0,,
344,Flat Washer 9,FW-3400,,0.0,0.0,,
345,Flat Washer 4,FW-3800,,0.0,0.0,,
346,Flat Washer 3,FW-5160,,0.0,0.0,,
347,Flat Washer 8,FW-5800,,0.0,0.0,,
348,Flat Washer 5,FW-7160,,0.0,0.0,,
349,Flat Washer 7,FW-9160,,0.0,0.0,,
350,Fork Crown,FC-3654,,0.0,0.0,,
351,Front Derailleur Cage,FC-3982,Silver,0.0,0.0,,
352,Front Derailleur Linkage,FL-2301,Silver,0.0,0.0,,
355,Guide Pulley,GP-0982,,0.0,0.0,,
356,LL Grip Tape,GT-0820,,0.0,0.0,,
357,ML Grip Tape,GT-1209,,0.0,0.0,,
358,HL Grip Tape,GT-2908,,0.0,0.0,,
359,Thin-Jam Hex Nut 9,HJ-1213,,0.0,0.0,,
360,Thin-Jam Hex Nut 10,HJ-1220,,0.0,0.0,,
361,Thin-Jam Hex Nut 1,HJ-1420,,0.0,0.0,,
362,Thin-Jam Hex Nut 2,HJ-1428,,0.0,0.0,,
363,Thin-Jam Hex Nut 15,HJ-3410,,0.0,0.0,,
364,Thin-Jam Hex Nut 16,HJ-3416,,0.0,0.0,,
365,Thin-Jam Hex Nut 5,HJ-3816,,0.0,0.0,,
366,Thin-Jam Hex Nut 6,HJ-3824,,0.0,0.0,,
367,Thin-Jam Hex Nut 3,HJ-5161,,0.0,0.0,,
368,Thin-Jam Hex Nut 4,HJ-5162,,0.0,0.0,,
369,Thin-Jam Hex Nut 13,HJ-5811,,0.0,0.0,,
370,Thin-Jam Hex Nut 14,HJ-5818,,0.0,0.0,,
371,Thin-Jam Hex Nut 7,HJ-7161,,0.0,0.0,,
372,Thin-Jam Hex Nut 8,HJ-7162,,0.0,0.0,,
373,Thin-Jam Hex Nut 12,HJ-9080,,0.0,0.0,,
374,Thin-Jam Hex Nut 11,HJ-9161,,0.0,0.0,,
375,Hex Nut 5,HN-1024,,0.0,0.0,,
376,Hex Nut 6,HN-1032,,0.0,0.0,,
377,Hex Nut 16,HN-1213,,0.0,0.0,,
378,Hex Nut 17,HN-1220,,0.0,0.0,,
379,Hex Nut 7,HN-1224,,0.0,0.0,,
380,Hex Nut 8,HN-1420,,0.0,0.0,,
381,Hex Nut 9,HN-1428,,0.0,0.0,,
382,Hex Nut 22,HN-3410,,0.0,0.0,,
383,Hex Nut 23,HN-3416,,0.0,0.0,,
384,Hex Nut 12,HN-3816,,0.0,0.0,,
385,Hex Nut 13,HN-3824,,0.0,0.0,,
386,Hex Nut 1,HN-4402,,0.0,0.0,,
387,Hex Nut 10,HN-5161,,0.0,0.0,,
388,Hex Nut 11,HN-5162,,0.0,0.0,,
389,Hex Nut 2,HN-5400,,0.0,0.0,,
390,Hex Nut 20,HN-5811,,0.0,0.0,,
391,Hex Nut 21,HN-5818,,0.0,0.0,,
392,Hex Nut 3,HN-6320,,0.0,0.0,,
393,Hex Nut 14,HN-7161,,0.0,0.0,,
394,Hex Nut 15,HN-7162,,0.0,0.0,,
395,Hex Nut 4,HN-8320,,0.0,0.0,,
396,Hex Nut 18,HN-9161,,0.0,0.0,,
397,Hex Nut 19,HN-9168,,0.0,0.0,,
398,Handlebar Tube,HT-2981,,0.0,0.0,,
399,Head Tube,HT-8019,,0.0,0.0,,
400,LL Hub,HU-6280,,0.0,0.0,,
401,HL Hub,HU-8998,,0.0,0.0,,
402,Keyed Washer,KW-4091,,0.0,0.0,,
403,External Lock Washer 3,LE-1000,,0.0,0.0,,
404,External Lock Washer 4,LE-1200,,0.0,0.0,,
405,External Lock Washer 9,LE-1201,,0.0,0.0,,
406,External Lock Washer 5,LE-1400,,0.0,0.0,,
407,External Lock Washer 7,LE-3800,,0.0,0.0,,
408,External Lock Washer 6,LE-5160,,0.0,0.0,,
409,External Lock Washer 1,LE-6000,,0.0,0.0,,
410,External Lock Washer 8,LE-7160,,0.0,0.0,,
411,External Lock Washer 2,LE-8000,,0.0,0.0,,
412,Internal Lock Washer 3,LI-1000,,0.0,0.0,,
413,Internal Lock Washer 4,LI-1200,,0.0,0.0,,
414,Internal Lock Washer 9,LI-1201,,0.0,0.0,,
415,Internal Lock Washer 5,LI-1400,,0.0,0.0,,
416,Internal Lock Washer 7,LI-3800,,0.0,0.0,,
417,Internal Lock Washer 6,LI-5160,,0.0,0.0,,
418,Internal Lock Washer 10,LI-5800,,0.0,0.0,,
419,Internal Lock Washer 1,LI-6000,,0.0,0.0,,
420,Internal Lock Washer 8,LI-7160,,0.0,0.0,,
421,Internal Lock Washer 2,LI-8000,,0.0,0.0,,
422,Thin-Jam Lock Nut 9,LJ-1213,,0.0,0.0,,
423,Thin-Jam Lock Nut 10,LJ-1220,,0.0,0.0,,
424,Thin-Jam Lock Nut 1,LJ-1420,,0.0,0.0,,
425,Thin-Jam Lock Nut 2,LJ-1428,,0.0,0.0,,
426,Thin-Jam Lock Nut 15,LJ-3410,,0.0,0.0,,
427,Thin-Jam Lock Nut 16,LJ-3416,,0.0,0.0,,
428,Thin-Jam Lock Nut 5,LJ-3816,,0.0,0.0,,
429,Thin-Jam Lock Nut 6,LJ-3824,,0.0,0.0,,
430,Thin-Jam Lock Nut 3,LJ-5161,,0.0,0.0,,
431,Thin-Jam Lock Nut 4,LJ-5162,,0.0,0.0,,
432,Thin-Jam Lock Nut 13,LJ-5811,,0.0,0.0,,
433,Thin-Jam Lock Nut 14,LJ-5818,,0.0,0.0,,
434,Thin-Jam Lock Nut 7,LJ-7161,,0.0,0.0,,
435,Thin-Jam Lock Nut 8,LJ-7162,,0.0,0.0,,
436,Thin-Jam Lock Nut 12,LJ-9080,,0.0,0.0,,
437,Thin-Jam Lock Nut 11,LJ-9161,,0.0,0.0,,
438,Lock Nut 5,LN-1024,,0.0,0.0,,
439,Lock Nut 6,LN-1032,,0.0,0.0,,
440,Lock Nut 16,LN-1213,,0.0,0.0,,
441,Lock Nut 17,LN-1220,,0.0,0.0,,
442,Lock Nut 7,LN-1224,,0.0,0.0,,
443,Lock Nut 8,LN-1420,,0.0,0.0,,
444,Lock Nut 9,LN-1428,,0.0,0.0,,
445,Lock Nut 22,LN-3410,,0.0,0.0,,
446,Lock Nut 23,LN-3416,,0.0,0.0,,
447,Lock Nut 12,LN-3816,,0.0,0.0,,
448,Lock Nut 13,LN-3824,,0.0,0.0,,
449,Lock Nut 1,LN-4400,,0.0,0.0,,
450,Lock Nut 10,LN-5161,,0.0,0.0,,
451,Lock Nut 11,LN-5162,,0.0,0.0,,
452,Lock Nut 2,LN-5400,,0.0,0.0,,
453,Lock Nut 20,LN-5811,,0.0,0.0,,
454,Lock Nut 21,LN-5818,,0.0,0.0,,
455,Lock Nut 3,LN-6320,,0.0,0.0,,
456,Lock Nut 14,LN-7161,,0.0,0.0,,
457,Lock Nut 15,LN-7162,,0.0,0.0,,
458,Lock Nut 4,LN-8320,,0.0,0.0,,
459,Lock Nut 19,LN-9080,,0.0,0.0,,
460,Lock Nut 18,LN-9161,,0.0,0.0,,
461,Lock Ring,LR-2398,Silver,0.0,0.0,,
462,Lower Head Race,LR-8520,,0.0,0.0,,
463,Lock Washer 4,LW-1000,,0.0,0.0,,
464,Lock Washer 5,LW-1200,,0.0,0.0,,
465,Lock Washer 10,LW-1201,,0.0,0.0,,
466,Lock Washer 6,LW-1400,,0.0,0.0,,
467,Lock Washer 13,LW-3400,,0.0,0.0,,
468,Lock Washer 8,LW-3800,,0.0,0.0,,
469,Lock Washer 1,LW-4000,,0.0,0.0,,
470,Lock Washer 7,LW-5160,,0.0,0.0,,
471,Lock Washer 12,LW-5800,,0.0,0.0,,
472,Lock Washer 2,LW-6000,,0.0,0.0,,
473,Lock Washer 9,LW-7160,,0.0,0.0,,
474,Lock Washer 3,LW-8000,,0.0,0.0,,
475,Lock Washer 11,LW-9160,,0.0,0.0,,
476,Metal Angle,MA-7075,,0.0,0.0,,
477,Metal Bar 1,MB-2024,,0.0,0.0,,
478,Metal Bar 2,MB-6061,,0.0,0.0,,
479,Metal Plate 2,MP-2066,,0.0,0.0,,
480,Metal Plate 1,MP-2503,,0.0,0.0,,
481,Metal Plate 3,MP-4960,,0.0,0.0,,
482,Metal Sheet 2,MS-0253,,0.0,0.0,,
483,Metal Sheet 3,MS-1256,,0.0,0.0,,
484,Metal Sheet 7,MS-1981,,0.0,0.0,,
485,Metal Sheet 4,MS-2259,,0.0,0.0,,
486,Metal Sheet 5,MS-2341,,0.0,0.0,,
487,Metal Sheet 6,MS-2348,,0.0,0.0,,
488,Metal Sheet 1,MS-6061,,0.0,0.0,,
489,Metal Tread Plate,MT-1000,,0.0,0.0,,
490,LL Nipple,NI-4127,,0.0,0.0,,
491,HL Nipple,NI-9522,,0.0,0.0,,
492,Paint - Black,PA-187B,,0.0,0.0,,
493,Paint - Red,PA-361R,,0.0,0.0,,
494,Paint - Silver,PA-529S,,0.0,0.0,,
495,Paint - Blue,PA-632U,,0.0,0.0,,
496,Paint - Yellow,PA-823Y,,0.0,0.0,,
497,Pinch Bolt,PB-6109,,0.0,0.0,,
504,Cup-Shaped Race,RA-2345,,0.0,0.0,,
505,Cone-Shaped Race,RA-7490,,0.0,0.0,,
506,Reflector,RF-9198,,0.0,0.0,,
507,LL Mountain Rim,RM-M464,,0.0,0.0,,
508,ML Mountain Rim,RM-M692,,0.0,0.0,,
509,HL Mountain Rim,RM-M823,,0.0,0.0,,
510,LL Road Rim,RM-R436,,0.0,0.0,,
511,ML Road Rim,RM-R600,,0.0,0.0,,
512,HL Road Rim,RM-R800,,0.0,0.0,,
513,Touring Rim,RM-T801,,0.0,0.0,,
514,LL Mountain Seat Assembly,SA-M198,,133.34,98.77,,
515,ML Mountain Seat Assembly,SA-M237,,147.14,108.99,,
516,HL Mountain Seat Assembly,SA-M687,,196.92,145.87,,
517,LL Road Seat Assembly,SA-R127,,133.34,98.77,,
518,ML Road Seat Assembly,SA-R430,,147.14,108.99,,
519,HL Road Seat Assembly,SA-R522,,196.92,145.87,,
520,LL Touring Seat Assembly,SA-T467,,133.34,98.77,,
521,ML Touring Seat Assembly,SA-T612,,147.14,108.99,,
522,HL Touring Seat Assembly,SA-T872,,196.92,145.87,,
523,LL Spindle/Axle,SD-2342,,0.0,0.0,,
524,HL Spindle/Axle,SD-9872,,0.0,0.0,,
525,LL Shell,SH-4562,,0.0,0.0,,
526,HL Shell,SH-9312,,0.0,0.0,,
527,Spokes,SK-9283,,0.0,0.0,,
528,Seat Lug,SL-0931,,0.0,0.0,,
529,Stem,SM-9087,,0.0,0.0,,
530,Seat Post,SP-2981,,0.0,0.0,,
531,Steerer,SR-2098,,0.0,0.0,,
532,Seat Stays,SS-2985,,0.0,0.0,,
533,Seat Tube,ST-9828,,0.0,0.0,,
534,Top Tube,TO-2301,,0.0,0.0,,
535,Tension Pulley,TP-0923,,0.0,0.0,,
679,Rear Derailleur Cage,RC-0291,Silver,0.0,0.0,,
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,1431.5,1059.31,Components,Road Frames
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,1431.5,1059.31,Components,Road Frames
707,"Sport-100 Helmet, Red",HL-U509-R,Red,34.99,13.0863,Accessories,Helmets
708,"Sport-100 Helmet, Black",HL-U509,Black,34.99,13.0863,Accessories,Helmets
709,"Mountain Bike Socks, M",SO-B909-M,White,9.5,3.3963,Clothing,Socks
710,"Mountain Bike Socks, L",SO-B909-L,White,9.5,3.3963,Clothing,Socks
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,34.99,13.0863,Accessories,Helmets
712,AWC Logo Cap,CA-1098,Multi,8.99,6.9223,Clothing,Caps
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Multi,49.99,38.4923,Clothing,Jerseys
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Multi,49.99,38.4923,Clothing,Jerseys
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Multi,49.99,38.4923,Clothing,Jerseys
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Multi,49.99,38.4923,Clothing,Jerseys
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,1431.5,868.6342,Components,Road Frames
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,1431.5,868.6342,Components,Road Frames
719,"HL Road Frame - Red, 48",FR-R92R-48,Red,1431.5,868.6342,Components,Road Frames
720,"HL Road Frame - Red, 52",FR-R92R-52,Red,1431.5,868.6342,Components,Road Frames
721,"HL Road Frame - Red, 56",FR-R92R-56,Red,1431.5,868.6342,Components,Road Frames
722,"LL Road Frame - Black, 58",FR-R38B-58,Black,337.22,204.6251,Components,Road Frames
723,"LL Road Frame - Black, 60",FR-R38B-60,Black,337.22,204.6251,Components,Road Frames
724,"LL Road Frame - Black, 62",FR-R38B-62,Black,337.22,204.6251,Components,Road Frames
725,"LL Road Frame - Red, 44",FR-R38R-44,Red,337.22,187.1571,Components,Road Frames
726,"LL Road Frame - Red, 48",FR-R38R-48,Red,337.22,187.1571,Components,Road Frames
727,"LL Road Frame - Red, 52",FR-R38R-52,Red,337.22,187.1571,Components,Road Frames
728,"LL Road Frame - Red, 58",FR-R38R-58,Red,337.22,187.1571,Components,Road Frames
729,"LL Road Frame - Red, 60",FR-R38R-60,Red,337.22,187.1571,Components,Road Frames
730,"LL Road Frame - Red, 62",FR-R38R-62,Red,337.22,187.1571,Components,Road Frames
731,"ML Road Frame - Red, 44",FR-R72R-44,Red,594.83,352.1394,Components,Road Frames
732,"ML Road Frame - Red, 48",FR-R72R-48,Red,594.83,352.1394,Components,Road Frames
733,"ML Road Frame - Red, 52",FR-R72R-52,Red,594.83,352.1394,Components,Road Frames
734,"ML Road Frame - Red, 58",FR-R72R-58,Red,594.83,352.1394,Components,Road Frames
735,"ML Road Frame - Red, 60",FR-R72R-60,Red,594.83,352.1394,Components,Road Frames
736,"LL Road Frame - Black, 44",FR-R38B-44,Black,337.22,204.6251,Components,Road Frames
737,"LL Road Frame - Black, 48",FR-R38B-48,Black,337.22,204.6251,Components,Road Frames
738,"LL Road Frame - Black, 52",FR-R38B-52,Black,337.22,204.6251,Components,Road Frames
739,"HL Mountain Frame - Silver, 42",FR-M94S-42,Silver,1364.5,747.2002,Components,Mountain Frames
740,"HL Mountain Frame - Silver, 44",FR-M94S-44,Silver,1364.5,706.811,Components,Mountain Frames
741,"HL Mountain Frame - Silver, 48",FR-M94S-52,Silver,1364.5,706.811,Components,Mountain Frames
742,"HL Mountain Frame - Silver, 46",FR-M94S-46,Silver,1364.5,747.2002,Components,Mountain Frames
743,"HL Mountain Frame - Black, 42",FR-M94B-42,Black,1349.6,739.041,Components,Mountain Frames
744,"HL Mountain Frame - Black, 44",FR-M94B-44,Black,1349.6,699.0928,Components,Mountain Frames
745,"HL Mountain Frame - Black, 48",FR-M94B-48,Black,1349.6,699.0928,Components,Mountain Frames
746,"HL Mountain Frame - Black, 46",FR-M94B-46,Black,1349.6,739.041,Components,Mountain Frames
747,"HL Mountain Frame - Black, 38",FR-M94B-38,Black,1349.6,739.041,Components,Mountain Frames
748,"HL Mountain Frame - Silver, 38",FR-M94S-38,Silver,1364.5,747.2002,Components,Mountain Frames
749,"Road-150 Red, 62",BK-R93R-62,Red,3578.27,2171.2942,Bikes,Road Bikes
750,"Road-150 Red, 44",BK-R93R-44,Red,3578.27,2171.2942,Bikes,Road Bikes
751,"Road-150 Red, 48",BK-R93R-48,Red,3578.27,2171.2942,Bikes,Road Bikes
752,"Road-150 Red, 52",BK-R93R-52,Red,3578.27,2171.2942,Bikes,Road Bikes
753,"Road-150 Red, 56",BK-R93R-56,Red,3578.27,2171.2942,Bikes,Road Bikes
754,"Road-450 Red, 58",BK-R68R-58,Red,1457.99,884.7083,Bikes,Road Bikes
755,"Road-450 Red, 60",BK-R68R-60,Red,1457.99,884.7083,Bikes,Road Bikes
756,"Road-450 Red, 44",BK-R68R-44,Red,1457.99,884.7083,Bikes,Road Bikes
757,"Road-450 Red, 48",BK-R68R-48,Red,1457.99,884.7083,Bikes,Road Bikes
758,"Road-450 Red, 52",BK-R68R-52,Red,1457.99,884.7083,Bikes,Road Bikes
759,"Road-650 Red, 58",BK-R50R-58,Red,782.99,486.7066,Bikes,Road Bikes
760,"Road-650 Red, 60",BK-R50R-60,Red,782.99,486.7066,Bikes,Road Bikes
761,"Road-650 Red, 62",BK-R50R-62,Red,782.99,486.7066,Bikes,Road Bikes
762,"Road-650 Red, 44",BK-R50R-44,Red,782.99,486.7066,Bikes,Road Bikes
763,"Road-650 Red, 48",BK-R50R-48,Red,782.99,486.7066,Bikes,Road Bikes
764,"Road-650 Red, 52",BK-R50R-52,Red,782.99,486.7066,Bikes,Road Bikes
765,"Road-650 Black, 58",BK-R50B-58,Black,782.99,486.7066,Bikes,Road Bikes
766,"Road-650 Black, 60",BK-R50B-60,Black,782.99,486.7066,Bikes,Road Bikes
767,"Road-650 Black, 62",BK-R50B-62,Black,782.99,486.7066,Bikes,Road Bikes
768,"Road-650 Black, 44",BK-R50B-44,Black,782.99,486.7066,Bikes,Road Bikes
769,"Road-650 Black, 48",BK-R50B-48,Black,782.99,486.7066,Bikes,Road Bikes
770,"Road-650 Black, 52",BK-R50B-52,Black,782.99,486.7066,Bikes,Road Bikes
771,"Mountain-100 Silver, 38",BK-M82S-38,Silver,3399.99,1912.1544,Bikes,Mountain Bikes
772,"Mountain-100 Silver, 42",BK-M82S-42,Silver,3399.99,1912.1544,Bikes,Mountain Bikes
773,"Mountain-100 Silver, 44",BK-M82S-44,Silver,3399.99,1912.1544,Bikes,Mountain Bikes
774,"Mountain-100 Silver, 48",BK-M82S-48,Silver,3399.99,1912.1544,Bikes,Mountain Bikes
775,"Mountain-100 Black, 38",BK-M82B-38,Black,3374.99,1898.0944,Bikes,Mountain Bikes
776,"Mountain-100 Black, 42",BK-M82B-42,Black,3374.99,1898.0944,Bikes,Mountain Bikes
777,"Mountain-100 Black, 44",BK-M82B-44,Black,3374.99,1898.0944,Bikes,Mountain Bikes
778,"Mountain-100 Black, 48",BK-M82B-48,Black,3374.99,1898.0944,Bikes,Mountain Bikes
779,"Mountain-200 Silver, 38",BK-M68S-38,Silver,2319.99,1265.6195,Bikes,Mountain Bikes
780,"Mountain-200 Silver, 42",BK-M68S-42,Silver,2319.99,1265.6195,Bikes,Mountain Bikes
781,"Mountain-200 Silver, 46",BK-M68S-46,Silver,2319.99,1265.6195,Bikes,Mountain Bikes
782,"Mountain-200 Black, 38",BK-M68B-38,Black,2294.99,1251.9813,Bikes,Mountain Bikes
783,"Mountain-200 Black, 42",BK-M68B-42,Black,2294.99,1251.9813,Bikes,Mountain Bikes
784,"Mountain-200 Black, 46",BK-M68B-46,Black,2294.99,1251.9813,Bikes,Mountain Bikes
785,"Mountain-300 Black, 38",BK-M47B-38,Black,1079.99,598.4354,Bikes,Mountain Bikes
786,"Mountain-300 Black, 40",BK-M47B-40,Black,1079.99,598.4354,Bikes,Mountain Bikes
787,"Mountain-300 Black, 44",BK-M47B-44,Black,1079.99,598.4354,Bikes,Mountain Bikes
788,"Mountain-300 Black, 48",BK-M47B-48,Black,1079.99,598.4354,Bikes,Mountain Bikes
789,"Road-250 Red, 44",BK-R89R-44,Red,2443.35,1518.7864,Bikes,Road Bikes
790,"Road-250 Red, 48",BK-R89R-48,Red,2443.35,1518.7864,Bikes,Road Bikes
791,"Road-250 Red, 52",BK-R89R-52,Red,2443.35,1518.7864,Bikes,Road Bikes
792,"Road-250 Red, 58",BK-R89R-58,Red,2443.35,1554.9479,Bikes,Road Bikes
793,"Road-250 Black, 44",BK-R89B-44,Black,2443.35,1554.9479,Bikes,Road Bikes
794,"Road-250 Black, 48",BK-R89B-48,Black,2443.35,1554.9479,Bikes,Road Bikes
795,"Road-250 Black, 52",BK-R89B-52,Black,2443.35,1554.9479,Bikes,Road Bikes
796,"Road-250 Black, 58",BK-R89B-58,Black,2443.35,1554.9479,Bikes,Road Bikes
797,"Road-550-W Yellow, 38",BK-R64Y-38,Yellow,1120.49,713.0798,Bikes,Road Bikes
